":id",":version",":created_at",":updated_at","crash_date","crash_time","borough","zip_code","latitude","longitude","location","on_street_name","off_street_name","cross_street_name","number_of_persons_injured","number_of_persons_killed","number_of_pedestrians_injured","number_of_pedestrians_killed","number_of_cyclist_injured","number_of_cyclist_killed","number_of_motorist_injured","number_of_motorist_killed","contributing_factor_vehicle_1","contributing_factor_vehicle_2","contributing_factor_vehicle_3","contributing_factor_vehicle_4","contributing_factor_vehicle_5","collision_id","vehicle_type_code1","vehicle_type_code2","vehicle_type_code_3","vehicle_type_code_4","vehicle_type_code_5"
"row-jc2u~htcw.4g95","rv-56fu-j6a2~3hhv","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","13:15","BROOKLYN","11214","40.6046100","-73.9982600","( 4 0 . 6 0 4 6 1 ,   - 7 3 . 9 9 8 2 6 )","20 AVENUE                       ","86 STREET",,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4407012","Sedan","Station Wagon/Sport Utility Vehicle",,,
"row-2ayu-wxqy_q83b","rv-nen3.xba8-fs5u","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","13:25","BROOKLYN","11203","40.6521760","-73.9284800","( 4 0 . 6 5 2 1 7 6 ,   - 7 3 . 9 2 8 4 8 )","EAST 52 STREET                  ","CHURCH AVENUE",,"1","0","0","0","0","0","1","0","Unspecified","Unspecified",,,,"4407573","Sedan","Minibike",,,
"row-jg5h_2xrm.rwtg","rv-bisa~ahi5.vu83","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","13:30","MANHATTAN","10013","40.7180180","-73.9999600","( 4 0 . 7 1 8 0 1 8 ,   - 7 3 . 9 9 9 9 6 )","CANAL STREET                    ","CENTRE STREET",,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4406945","Armored Truck",,,,
"row-j5gt~8k5m-6brv","rv-fpjc~auxm_y6rd","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","13:30","QUEENS","11360","40.7793240","-73.7756040","( 4 0 . 7 7 9 3 2 4 ,   - 7 3 . 7 7 5 6 0 4 )","BELL BOULEVARD                  ","24 AVENUE",,"0","0","0","0","0","0","0","0","Passing Too Closely","Unspecified",,,,"4407173","Station Wagon/Sport Utility Vehicle",,,,
"row-iu46_ymij~jwwe","rv-8jt3-uyp5.chmv","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","13:30",,,"40.7023620","-73.9129100","( 4 0 . 7 0 2 3 6 2 ,   - 7 3 . 9 1 2 9 1 )","MENAHAN STREET                  ",,,"0","0","0","0","0","0","0","0","Backing Unsafely","Unspecified",,,,"4407060","Sedan","Sedan",,,
"row-mak4.4d5g.i6bh","rv-wcmq.wam6-br6j","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","13:30","BROOKLYN","11220","0E-7","0E-7","( 0 . 0 ,   0 . 0 )","5 AVENUE                        ","56 STREET",,"1","0","0","0","1","0","0","0","Turning Improperly","Unspecified",,,,"4407093","Station Wagon/Sport Utility Vehicle","E-Bike",,,
"row-4xnp~sktg-36yh","rv-5vtq-nea6~9wtf","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","13:30",,,"40.6383820","-74.0366800","( 4 0 . 6 3 8 3 8 2 ,   - 7 4 . 0 3 6 6 8 )","BELT PARKWAY                    ",,,"2","0","0","0","0","0","2","0","Following Too Closely","Unspecified",,,,"4407079","Station Wagon/Sport Utility Vehicle","Sedan",,,
"row-uu3q.d5rd-qg5x","rv-7vkx_nz8m-ddw8","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","13:38",,,"40.7375530","-73.8508900","( 4 0 . 7 3 7 5 5 3 ,   - 7 3 . 8 5 0 8 9 )","LONG ISLAND EXPRESSWAY          ",,,"0","0","0","0","0","0","0","0","Following Too Closely","Unspecified",,,,"4406961","Sedan","Station Wagon/Sport Utility Vehicle",,,
"row-4pea_5d3f-iu9t","rv-dtfk~b6wf_3spg","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","13:40","BROOKLYN","11217","40.6802670","-73.9747000","( 4 0 . 6 8 0 2 6 7 ,   - 7 3 . 9 7 4 7 )","FLATBUSH AVENUE                 ","6 AVENUE",,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4407141","Bus","Station Wagon/Sport Utility Vehicle",,,
"row-quj7_kynq_mh9y","rv-dg9t.fhq7_9sx7","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","13:40",,,"40.6972850","-73.7944600","( 4 0 . 6 9 7 2 8 5 ,   - 7 3 . 7 9 4 4 6 )","160 STREET                      ",,,"0","0","0","0","0","0","0","0","Lane Marking Improper/Inadequate","Unspecified",,,,"4407037","Sedan","Station Wagon/Sport Utility Vehicle",,,
"row-7cs6_49zs_w43x","rv-dxme.f95q.n66p","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","13:44","BROOKLYN","11218","40.6436600","-73.9796300","( 4 0 . 6 4 3 6 6 ,   - 7 3 . 9 7 9 6 3 )",,,"438       MC DONALD AVENUE              ","0","0","0","0","0","0","0","0","Unspecified","Unspecified",,,,"4407292","Sedan",,,,
"row-b3iw_whc8-bbm4","rv-h93c~6yxs.rp32","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","13:50","BROOKLYN","11222","40.7242620","-73.9376600","( 4 0 . 7 2 4 2 6 2 ,   - 7 3 . 9 3 7 6 6 )","APOLLO STREET                   ","MEEKER AVENUE",,"0","1","0","0","0","0","0","1","Illnes","Unspecified",,,,"4407071","Sedan","Sedan",,,
"row-7h8g.9g5x.fjca","rv-wjnv-zesg~injp","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","14:00","QUEENS","11432","40.7133750","-73.7807800","( 4 0 . 7 1 3 3 7 5 ,   - 7 3 . 7 8 0 7 8 )",,,"181-24    HILLSIDE AVENUE               ","1","0","0","0","0","0","1","0","Driver Inattention/Distraction","Driver Inattention/Distraction",,,,"4407016","Bus","Station Wagon/Sport Utility Vehicle",,,
"row-t68t_jbsk~zaug","rv-qh3p-z2ne-zn8g","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","14:10","MANHATTAN","10031","40.8250770","-73.9493500","( 4 0 . 8 2 5 0 7 7 ,   - 7 3 . 9 4 9 3 5 )",,,"540       WEST 144 STREET               ","0","0","0","0","0","0","0","0","Passing Too Closely","Unspecified",,,,"4407440","Station Wagon/Sport Utility Vehicle",,,,
"row-ccxf_mifc-7hhi","rv-6gs7.nj8i~h953","2021-04-19T13:00:42.446Z","2021-04-19T22:53:45.392Z","2021-04-13T00:00:00.000","14:10","QUEENS","11434","40.662476","-73.768326","      ( 4 0 . 6 6 2 4 7 6 ,   - 7 3 . 7 6 8 3 2 6 )",,,"146-22    BREWER BOULEVARD","0","0","0","0","0","0","0","0","Unspecified",,,,,"4407049","Sedan",,,,
"row-fy2v.wfym~2nwg","rv-vqsq.a5vy.kukm","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","14:10","BROOKLYN","11219","40.6240500","-73.9999540","( 4 0 . 6 2 4 0 5 ,   - 7 3 . 9 9 9 9 5 4 )","66 STREET                       ","14 AVENUE",,"1","0","1","0","0","0","0","0","Unspecified",,,,,"4407575",,,,,
"row-qdbw_2mba.kzyc","rv-niwd~ugmb-3jfi","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","14:23",,,"40.8698460","-73.9158860","( 4 0 . 8 6 9 8 4 6 ,   - 7 3 . 9 1 5 8 8 6 )","BROADWAY                        ","WEST 215 STREET",,"1","0","1","0","0","0","0","0","Failure to Yield Right-of-Way",,,,,"4407308","Sedan",,,,
"row-h4ps~z3jb_bz5e","rv-j2ps~mje8_39ic","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","14:25","MANHATTAN","10033","40.8492970","-73.9389700","( 4 0 . 8 4 9 2 9 7 ,   - 7 3 . 9 3 8 9 7 )","FORT WASHINGTON AVENUE          ","WEST 179 STREET",,"0","0","0","0","0","0","0","0","Failure to Yield Right-of-Way","Unspecified",,,,"4407325","Sedan","Bike",,,
"row-yyf7~rp9n~5r7d","rv-2vsr~rwaa-x9i2","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","14:25","QUEENS","11691","40.5975100","-73.7598100","( 4 0 . 5 9 7 5 1 ,   - 7 3 . 7 5 9 8 1 )",,,"25-10     DEERFIELD ROAD                ","0","0","0","0","0","0","0","0","Other Vehicular",,,,,"4407146","Station Wagon/Sport Utility Vehicle",,,,
"row-xw7f-9i2n~5rdy","rv-4694-kkyd_rydu","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","14:25","QUEENS","11377","40.7390670","-73.8958800","( 4 0 . 7 3 9 0 6 7 ,   - 7 3 . 8 9 5 8 8 )","69 STREET                       ","47 AVENUE",,"1","0","0","0","0","0","1","0","Driver Inattention/Distraction","Unspecified",,,,"4407046","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",,,
"row-fjbs.vr9g-azjp","rv-pzu6-4tyj~hksk","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","14:28",,,"40.6740000","-73.9603960","( 4 0 . 6 7 4 ,   - 7 3 . 9 6 0 3 9 6 )","STERLING PLACE                  ",,,"1","0","0","0","0","0","1","0","Driver Inattention/Distraction","Unspecified",,,,"4407072","Motorscooter","Sedan",,,
"row-yg87-eyjr.cbi9","rv-mktt~svaj~iw93","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","14:30","BROOKLYN","11201","40.6962930","-73.9911960","( 4 0 . 6 9 6 2 9 3 ,   - 7 3 . 9 9 1 1 9 6 )","TILLARY STREET                  ","CADMAN PLAZA WEST",,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified","Unspecified",,,"4407041","Sedan","Sedan","Sedan",,
"row-nt7e~25bb-jf2f","rv-m48w~s7mz-5e84","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","14:30","BROOKLYN","11238","40.6827960","-73.9688100","( 4 0 . 6 8 2 7 9 6 ,   - 7 3 . 9 6 8 8 1 )",,,"495       CLERMONT AVENUE               ","0","0","0","0","0","0","0","0","Unspecified",,,,,"4407625","Sedan",,,,
"row-ntym-juf8_m6t9","rv-88ju-c5v2_kxpc","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","14:30",,,"40.8267600","-73.9375840","( 4 0 . 8 2 6 7 6 ,   - 7 3 . 9 3 7 5 8 4 )","MACOMBS PLACE                   ",,,"0","0","0","0","0","0","0","0","Passing Too Closely","Other Vehicular",,,,"4406986","Bus","Station Wagon/Sport Utility Vehicle",,,
"row-n5gu.vct5-bqr9","rv-38au-bhaj-ip5z","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","14:31","BROOKLYN","11236","40.6375120","-73.9129500","( 4 0 . 6 3 7 5 1 2 ,   - 7 3 . 9 1 2 9 5 )",,,"745       EAST 82 STREET                ","0","0","0","0","0","0","0","0","Backing Unsafely","Passing or Lane Usage Improper",,,,"4407092","Sedan",,,,
"row-4rw6~vj9n-qrja","rv-c6qr.hp9e_3nt6","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","14:35",,,"40.6071850","-74.1623900","( 4 0 . 6 0 7 1 8 5 ,   - 7 4 . 1 6 2 3 9 )","RICHMOND AVENUE                 ","VICTORY BOULEVARD",,"0","0","0","0","0","0","0","0","Passing or Lane Usage Improper","Unspecified",,,,"4407002","Station Wagon/Sport Utility Vehicle","Sedan",,,
"row-8niz~n43z.qc82","rv-jg8y_77qk-9zr8","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","14:40",,,"40.7008200","-73.7895400","( 4 0 . 7 0 0 8 2 ,   - 7 3 . 7 8 9 5 4 )","MERRICK BOULEVARD               ",,,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Driver Inattention/Distraction",,,,"4407559","Bus","Station Wagon/Sport Utility Vehicle",,,
"row-734e.fs53~xcxe","rv-5pid_xx46-pw9f","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","14:45",,,,,,"BROOKVILLE BOULEVARD            ","ROCKAWAY BOULEVARD",,"0","0","0","0","0","0","0","0","Unspecified","Unspecified",,,,"4407050","Sedan","Sedan",,,
"row-7wvd-xx3s.imab","rv-43vc~yjv7_8a2q","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","14:50",,,"40.7271300","-73.8124800","( 4 0 . 7 2 7 1 3 ,   - 7 3 . 8 1 2 4 8 )","KISSENA BOULEVARD               ","73 AVENUE",,"2","0","0","0","0","0","2","0","Driver Inattention/Distraction","Driver Inattention/Distraction",,,,"4407082","4 dr sedan","Sedan",,,
"row-n6y3-7qki~28qb","rv-egxn_2h47_5je2","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","14:53","BRONX","10452","40.8439060","-73.9241300","( 4 0 . 8 4 3 9 0 6 ,   - 7 3 . 9 2 4 1 3 )","UNIVERSITY AVENUE               ","BOSCOBEL PLACE",,"0","0","0","0","0","0","0","0","Turning Improperly","Unspecified",,,,"4407160","Sedan","Station Wagon/Sport Utility Vehicle",,,
"row-w3a6_5nmk_25j8","rv-m76k~c3mx_9xiv","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","14:55","BRONX","10467","40.8653900","-73.8691300","( 4 0 . 8 6 5 3 9 ,   - 7 3 . 8 6 9 1 3 )","ALLERTON AVENUE                 ","BARKER AVENUE",,"2","0","0","0","0","0","2","0","Other Vehicular","Obstruction/Debris",,,,"4407259","Station Wagon/Sport Utility Vehicle","Sedan",,,
"row-is7y~jhid.ch58","rv-qgap_ubid.4wp8","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","14:59","BROOKLYN","11230","40.6244500","-73.9680250","( 4 0 . 6 2 4 4 5 ,   - 7 3 . 9 6 8 0 2 5 )","EAST 8 STREET                   ","AVENUE J",,"1","0","1","0","0","0","0","0","Unspecified",,,,,"4407289","Station Wagon/Sport Utility Vehicle",,,,
"row-qqgi.vbfy_aznb","rv-dwb3.zia3_fxd2","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","15:00","BROOKLYN","11208","40.6739430","-73.8639300","( 4 0 . 6 7 3 9 4 3 ,   - 7 3 . 8 6 3 9 3 )","SUTTER AVENUE                   ","ELDERTS LANE",,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4407734","Station Wagon/Sport Utility Vehicle","Sedan",,,
"row-knkj~gtj3_suf4","rv-7atb-9gq4_3m49","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","15:00","MANHATTAN","10033","40.8451400","-73.9338100","( 4 0 . 8 4 5 1 4 ,   - 7 3 . 9 3 3 8 1 )",,,"514       WEST 176 STREET               ","1","0","0","0","0","0","1","0","Aggressive Driving/Road Rage","Unspecified",,,,"4407262","Sedan","Sedan",,,
"row-m85g~z8va-u8mx","rv-racw.8wem-48sf","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","15:08",,,"40.7295530","-73.9118800","( 4 0 . 7 2 9 5 5 3 ,   - 7 3 . 9 1 1 8 8 )","58 STREET                       ","BORDEN AVENUE",,"2","0","0","0","0","0","2","0","Driver Inattention/Distraction","Unspecified","Unspecified",,,"4407362","Carry All","Taxi","Van",,
"row-mfib~myda_39mt","rv-mgak_y67d-dcfm","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","15:25","QUEENS","11691","40.6047820","-73.7540050","( 4 0 . 6 0 4 7 8 2 ,   - 7 3 . 7 5 4 0 0 5 )","MOTT AVENUE                     ","BEACH 22 STREET",,"0","0","0","0","0","0","0","0","Other Vehicular","Following Too Closely",,,,"4407149","Sedan",,,,
"row-8m4u_i9zj.cgzg","rv-e7yb.rnmj-uc8w","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","15:28",,,,,,"WILLIS AVE BRIDGE               ",,,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4407513","Box Truck","Sedan",,,
"row-ky4j~x63z.t4qx","rv-fb66.emwg.vdri","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","15:28","BRONX","10460","40.8324100","-73.8907200","( 4 0 . 8 3 2 4 1 ,   - 7 3 . 8 9 0 7 2 )","SOUTHERN BOULEVARD              ","JENNINGS STREET",,"1","0","1","0","0","0","0","0","Failure to Yield Right-of-Way",,,,,"4407487","Sedan",,,,
"row-hwt4.yvkx-p5ra","rv-cijg.quhg.t7ww","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","15:30","BROOKLYN","11224","40.5755730","-73.9943200","( 4 0 . 5 7 5 5 7 3 ,   - 7 3 . 9 9 4 3 2 )","MERMAID AVENUE                  ","WEST 28 STREET",,"0","0","0","0","0","0","0","0","Following Too Closely","Unspecified",,,,"4407477","Station Wagon/Sport Utility Vehicle",,,,
"row-vjbn-wvgq~wbsk","rv-xb8g~6k3h_veai","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","15:30",,,"40.6356240","-74.0170700","( 4 0 . 6 3 5 6 2 4 ,   - 7 4 . 0 1 7 0 7 )","BROOKLYN QUEENS EXPRESSWAY      ",,,"1","0","0","0","0","0","1","0","Following Too Closely","Unspecified","Unspecified","Unspecified",,"4407070","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","Sedan","Pick-up Truck",
"row-6gbg-piwz~xrw8","rv-57cb_6n56-g4da","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","15:34",,,"40.8566900","-73.8647460","( 4 0 . 8 5 6 6 9 ,   - 7 3 . 8 6 4 7 4 6 )","PELHAM PARKWAY SOUTH            ","WALLACE AVENUE",,"1","0","0","0","0","0","1","0","Driver Inexperience","Unspecified",,,,"4407252","Station Wagon/Sport Utility Vehicle","Moped",,,
"row-7y42-mzg5~ephx","rv-47ew_yy4c.5qw4","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","15:38",,,,,,"VALENTINE AVENUE                ",,,"0","0","0","0","0","0","0","0","Unspecified",,,,,"4407237","Station Wagon/Sport Utility Vehicle",,,,
"row-z2rh-7miz.ug6i","rv-isni~tgp4.3wr6","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","15:44","BROOKLYN","11237","40.7040900","-73.9276500","( 4 0 . 7 0 4 0 9 ,   - 7 3 . 9 2 7 6 5 )","KNICKERBOCKER AVENUE            ","MELROSE STREET",,"1","0","0","0","1","0","0","0","Unspecified","Unspecified",,,,"4407137","Flat Bed","Bike",,,
"row-f8e8_st5e_fvtp","rv-ucns_8nyi.kw5g","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","15:49","MANHATTAN","10034","40.8655470","-73.9272800","( 4 0 . 8 6 5 5 4 7 ,   - 7 3 . 9 2 7 2 8 )","DYCKMAN STREET                  ","BROADWAY",,"0","0","0","0","0","0","0","0","Unspecified",,,,,"4407315","Station Wagon/Sport Utility Vehicle",,,,
"row-jq5j_wb34-y3qz","rv-s4hm-cxx8.ty8n","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","15:50",,,"40.7892800","-73.8409500","( 4 0 . 7 8 9 2 8 ,   - 7 3 . 8 4 0 9 5 )","9 AVENUE                        ",,,"0","0","0","0","0","0","0","0","Unsafe Speed","Unspecified",,,,"4407170","Station Wagon/Sport Utility Vehicle","Sedan",,,
"row-nb63.k3dh_dpu2","rv-vgs3-yykv~2apk","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","15:56","MANHATTAN","10032","40.8435500","-73.9391250","( 4 0 . 8 4 3 5 5 ,   - 7 3 . 9 3 9 1 2 5 )",,,"4069      BROADWAY                      ","1","0","0","0","0","0","1","0","Unspecified","Unspecified",,,,"4407263","Taxi","Sedan",,,
"row-8uk2-s9fu_99gh","rv-mtdh~h5we.xkid","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","16:00","BROOKLYN","11210","40.6359500","-73.9441150","( 4 0 . 6 3 5 9 5 ,   - 7 3 . 9 4 4 1 1 5 )",,,"824       EAST 34 STREET                ","0","0","0","0","0","0","0","0","Unsafe Lane Changing","Unspecified",,,,"4407023","Sedan","Enclosed Body - Removable Enclosure",,,
"row-kcde-zdgc~rh2e","rv-ryee_59rc.mp53","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","16:00",,,"40.7361450","-73.9115500","( 4 0 . 7 3 6 1 4 5 ,   - 7 3 . 9 1 1 5 5 )","BROOKLYN QUEENS EXPRESSWAY      ",,,"0","0","0","0","0","0","0","0","Glare","Unspecified",,,,"4407026","OTHER","Sedan",,,
"row-u2uu~6gkx.ui6c","rv-yywd~fhtx~mnc4","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","16:00",,,,,,"EAST 43 STREET                  ","PARK AVENUE",,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4407276","Station Wagon/Sport Utility Vehicle","Taxi",,,
"row-2e95_pwi2_qgfy","rv-gqpc~ffrs~6trr","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","16:00",,,"40.7387300","-73.8142800","( 4 0 . 7 3 8 7 3 ,   - 7 3 . 8 1 4 2 8 )","LONG ISLAND EXPRESSWAY          ",,,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4407089","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",,,
"row-ivg8-4uva~f3w4","rv-34c8_sbj6~yghj","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","16:00",,,"40.6764450","-73.9276200","( 4 0 . 6 7 6 4 4 5 ,   - 7 3 . 9 2 7 6 2 )","ROCHESTER AVENUE                ",,,"0","0","0","0","0","0","0","0","Unspecified",,,,,"4407352","Pick-up Truck",,,,
"row-hwnh_nm9b.w5pv","rv-q2yq-rmir~9d98","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","16:01",,,"40.7614200","-73.9840550","( 4 0 . 7 6 1 4 2 ,   - 7 3 . 9 8 4 0 5 5 )","WEST 50 STREET                  ",,,"0","0","0","0","0","0","0","0","Following Too Closely","Unspecified",,,,"4407032","Taxi","Station Wagon/Sport Utility Vehicle",,,
